Ticker,Model,MAE,RMSE,MAPE (%),R2,DA (%)
GOOGL,6. Random Forest Pure,40.28528972585677,57.855763951038895,14.278049468015219,-0.3139192518927021,60.9271523178808
GOOGL,7. Random Forest + Sentiment,40.64516171429662,58.275048480456206,14.413684722047627,-0.33303237748435577,60.264900662251655
GOOGL,8. Random Forest + mBERT,41.541302102889766,59.254503021844194,14.757761585465465,-0.37821867672720755,59.60264900662252
GOOGL,9. XGBoost Pure,41.80086411229822,59.31925141043508,14.88612149589817,-0.3812323276571077,56.29139072847682
GOOGL,10. XGBoost + Sentiment,42.76665724192234,60.432970474521355,15.251326484741446,-0.4335844924583496,55.62913907284768
GOOGL,11. XGBoost + mBERT,42.387849517215955,59.983903471278545,15.10965697730322,-0.4123582116899791,54.966887417218544
GOOGL,12. BiLSTM Pure,18.332975577044962,23.20042608170928,6.973373442226016,0.7887156485219726,45.033112582781456
GOOGL,13. BiLSTM + Sentiment,24.02157067305205,31.201452892547234,8.973662045161069,0.6178577593674409,45.033112582781456
GOOGL,14. BiLSTM + mBERT,25.40470542655086,32.672445282223705,9.54914351869892,0.5809762013984365,45.033112582781456
META,1. Naive Persistence,9.234204020721233,13.952663520000893,1.3179313084158404,0.9220666317265381,0.0
META,"2. ARIMA(0, 1, 0)",9.261989613982765,13.969839001263061,1.3225431547262225,0.9218746444452615,50.331125827814574
META,3. Decision Tree Pure,17.424598109387123,24.22960530840869,2.3808959742031446,0.7649815897438166,60.9271523178808
META,4. Decision Tree + Sentiment,17.88447665616295,24.69018452741467,2.4493185410764275,0.7559617644345371,64.90066225165563
META,5. Decision Tree + mBERT,17.173715322756323,24.096569561816594,2.3444487345899314,0.7675553019195939,63.576158940397356
META,6. Random Forest Pure,13.374281310918182,19.747518690268226,1.820873671027436,0.8438887245728003,68.21192052980133
META,7. Random Forest + Sentiment,13.482138817972006,19.922153219993987,1.8346733565375946,0.8411154176707949,68.87417218543047
META,8. Random Forest + mBERT,13.223862739960644,19.61242366724064,1.7991040685882511,0.8460173684418848,68.21192052980133
META,9. XGBoost Pure,16.878215461377277,23.538072370347862,2.301126953877147,0.7782053876399961,67.54966887417218
META,10. XGBoost + Sentiment,16.727587567259935,23.5066757492339,2.278934065621282,0.7787966813573648,68.87417218543047
META,11. XGBoost + mBERT,16.78800873409044,23.49315414503554,2.2885175370198767,0.7790510910833187,67.54966887417218
META,12. BiLSTM Pure,30.137714714403973,35.01698286584764,4.2334583797169225,0.5091298173532117,49.00662251655629
META,13. BiLSTM + Sentiment,26.514984737168874,31.4299443726266,3.7652124564540457,0.6045455840483873,49.00662251655629
META,14. BiLSTM + mBERT,26.96689024666287,31.86981090053934,3.820084176520093,0.5933992475225622,48.34437086092716
VNM,1. Naive Persistence,1.0240251572327048,1.3799238881572125,1.6334055135059107,0.9011013631595225,3.7735849056603774
VNM,"2. ARIMA(0, 1, 1)",1.014271996276511,1.3781550383593364,1.61875290722067,0.901354746283408,57.861635220125784
VNM,3. Decision Tree Pure,0.6628995435710897,1.0032377374942332,1.039949377725961,0.9477257560819564,77.35849056603774
VNM,4. Decision Tree + Sentiment,0.6628995435710897,1.0032377374942336,1.039949377725961,0.9477257560819563,77.35849056603774
VNM,5. Decision Tree + mBERT,0.6628995435710904,1.0032377374942336,1.0399493777259619,0.9477257560819563,77.35849056603774
VNM,6. Random Forest Pure,0.6229199168937282,0.9262601138549441,0.9730147961264239,0.9554399195759536,81.76100628930818
VNM,7. Random Forest + Sentiment,0.6450707596504541,0.9703510937836819,1.0039925128903562,0.9510967368270881,82.38993710691824
VNM,8. Random Forest + mBERT,0.6685946630575138,1.006790183868813,1.0389573333934792,0.947354896366369,81.76100628930818
VNM,9. XGBoost Pure,0.633944651285807,0.950581629121336,0.9871157431053164,0.9530691009938139,81.13207547169812
VNM,10. XGBoost + Sentiment,0.6426060984869422,0.9685237942702604,0.99963870951047,0.9512807460385255,79.87421383647799
VNM,11. XGBoost + mBERT,0.6750494605490245,1.0507730023630488,1.04423069846916,0.9426546970279372,79.24528301886792
VNM,12. BiLSTM Pure,1.74105805978835,2.3846928497273674,2.7875127336880965,0.7046445841105291,52.20125786163522
VNM,13. BiLSTM + Sentiment,1.6940651870823504,2.290385923105447,2.7252839034575027,0.7275433757068975,50.314465408805034
VNM,14. BiLSTM + mBERT,1.7506926712899837,2.403080855010652,2.8032618479043334,0.7000721413778896,54.088050314465406
