Date,Open,High,Low,Close,Volume,sentiment
2024-09-13,517.3493672277767,524.5477455442109,514.1378904204591,521.604736328125,10321400,0.0
2024-09-16,522.0227173210484,531.5368365725262,514.9170282546622,530.7208251953125,9527600,0.0
2024-09-17,535.0201027147613,539.4985077957741,528.0238703630636,533.7462768554688,11690800,0.0
2024-09-18,534.4926264341286,541.5884146634684,531.3378561652726,535.368408203125,10323500,0.0
2024-09-19,547.360625106574,559.3727101138928,543.8973445888765,556.4169311523438,15647000,0.0
2024-09-20,557.3125698177632,561.790974396656,553.630313904446,558.6560668945312,22066800,0.0
2024-09-23,566.7669546644623,571.2254355902388,559.7109530325689,561.7013549804688,12830700,0.0
2024-09-24,563.9605473092387,565.0254197663409,551.5304953936857,560.6266479492188,12993000,0.0
2024-09-25,561.3432576276692,574.1117067802203,561.0148242045775,565.5828247070312,16543400,0.0
2024-09-26,572.967080344701,574.6291098304922,559.6512854533856,565.114990234375,14400800,0.0
2024-09-27,567.3640479667661,568.1005477071013,561.8009085673148,564.63720703125,9398400,0.0
2024-09-30,564.9756280044119,571.9221116471715,562.0895207658488,569.69287109375,12792300,0.0
2024-10-01,575.2063156344602,580.2420307996076,567.3641260621707,573.7035522460938,15259300,-0.941889
2024-10-02,572.1013073959746,573.2358512630743,566.6078384594379,570.0611572265625,6524700,0.0
2024-10-03,567.4139551254736,580.5605233296984,566.0007257701127,579.973388671875,11581000,0.0
2024-10-04,580.9287120013399,593.9857454241755,578.6397616460487,593.0801391601562,14169500,-0.209658625
2024-10-07,595.3490750867293,600.0564168211795,581.2371330959921,581.9736328125,12014200,-0.040644249999999965
2024-10-08,586.8600834032629,590.7115064354323,583.1579040765794,590.0447387695312,7857400,0.0
2024-10-09,591.1394888701676,591.5375936051837,578.8188944511467,587.6762084960938,9529700,0.8477283333333334
2024-10-10,584.7503015704497,587.397509697218,579.7245483018079,581.0282592773438,7740400,0.7752173333333333
2024-10-11,582.0234112463053,588.3727984137771,579.9135900095793,587.1188354492188,8587100,0.5558972857142856
2024-10-14,591.3683608695632,597.2201481215791,587.1288552616571,587.5866088867188,8252000,0.0
2024-10-15,587.3278289153324,587.7756815393129,577.3559556315927,583.45654296875,9564200,0.0
2024-10-16,578.6099570311397,579.2866865055009,571.2753296162662,574.0220336914062,11268400,0.0
2024-10-17,580.5306884411078,582.1627721197076,572.4396984468079,574.161376953125,8701200,0.0
2024-10-18,578.3113382248611,581.1675605388372,572.4894360534232,573.7035522460938,7694300,0.0
2024-10-21,573.2656610260642,574.4698153606886,566.37882637357,572.3997802734375,8171900,0.0
