title,date,stock
Vietnam heavyweight Hoa Phat’s rail steel plant project could generate $29.4 mln in annual pre-tax profit: broker,2025-08-25,HPG
hipages Group Holdings Full Year 2025 Earnings: In Line With Expectations,2025-08-26,HPG
Vietnam steel sector’s earnings may soar 45% this year on rising domestic demand,2025-09-01,HPG
PNP-HPG intensifies anti-crime campaign,2025-09-08,HPG
Hoa Phat Agriculture officially files for IPO,2025-09-17,HPG
The Return Trends At hipages Group Holdings (ASX:HPG) Look Promising,2025-09-17,HPG
Hoa Phat Agriculture submits documents for IPO,2025-09-17,HPG
"Booming IPO market in Vietnam presents opportunities, risks",2025-09-19,HPG
Vietnam's steel industry profit to surge in Q3 on price and output rebound,2025-09-25,HPG
Market status upgrade spurs foreign interest in key Vietnamese stocks,2025-10-09,HPG
Vietnam’s 10 richest stock market tycoons double wealth in just 1 year,2025-10-13,HPG
Steel heavyweight Hoa Phat to develop 235-ha industrial park in northern Vietnam,2025-11-04,HPG
Property fluctuations in the top 5 richest billionaires in Vietnam,2025-11-06,HPG
PHL conglomerates’ P1.65-T renewable push to test capital discipline — S&P - BusinessWorld,2025-11-07,HPG
Hoa Phat Agriculture announces initial public offering of 30 million shares,2025-11-20,HPG
"Hoa Phat Agriculture valued at over $450 mln ahead of IPO, ranking 2nd in Vietnam's livestock industry",2025-11-21,HPG
"HPA Roadshow on December 1, 2025: Net profit margin reaches 21%, committing to transparency and ensuring Shareholder Interests",2025-12-01,HPG
Hoa Phat Agriculture to maintain annual cash dividends after listing,2025-12-02,HPG
"Masan's FMCG arm MCH to list on HCMC bourse at $8 per share, valuation tops $8.6 bln",2025-12-18,HPG
What should investors reasonably expect from IPO stocks?,2025-12-24,HPG
Hoa Phat Agriculture Raises $48 Million From Vietnam IPO,2026-01-08,HPG
From reflection to action: HPG’s research priorities for 2026,2026-01-15,HPG
US Commerce Department sets May deadline for Vietnam's top steel firm Hoa Phat to clarify subsidy allegations,2026-01-15,HPG
Hoa Phat cuts stake in its agriculture subsidiary before listing,2026-01-27,HPG
"Hoa Phat Agriculture lists on HCMC bourse, rules out share issuance to avoid dilution",2026-02-06,HPG
Hoa Phat Agricultural Development debuts shares on HSX - Vietnam Investment Review,2026-02-06,HPG
"Hoa Phat Agricultural Development JSC shares rise, attract foreign capital on first trading day",2026-02-06,HPG
285 million HPA shares officially debut on HOSE,2026-02-06,HPG
"Hoa Phat pig farming posts 83% ROE, highest in the group",2026-02-11,HPG
More than 100% upside predicted for this online marketplace which is using AI to its advantage,2026-02-26,HPG
Vietnamese corporate leaders deploy millions of US dollars to buy stocks as market plunges,2026-03-10,HPG
Hoa Phat launches second phase of rooftop solar project to boost energy self-sufficiency,2026-03-25,HPG
Philippine National Police (PNP) Highway Patrol Group (HPG) acting director Brigadier General Jessie Tamayao voluntarily stepped down from post following an allegation of sexual harassment by a female subordinate.,2026-03-25,HPG
Vietnam firms adapt to rising fuel costs with greener solutions,2026-03-26,HPG
FTSE Russell names 32 Vietnamese stocks eligible for emerging-market index inclusion,2026-04-08,HPG
Steel giant Hoa Phat inaugurates $76 mln steel pipe plant in southern Vietnam,2026-04-20,HPG
Is It Too Late To Consider Buying hipages Group Holdings Limited (ASX:HPG)?,2026-04-21,HPG
"HPA successfully organizes the first shareholders' Annual General Meeting after listing, and plans to pay a 36% cash dividend in 2026",2026-04-21,HPG
"China Steel Corp raising prices amid demand, high costs",2026-05-13,HPG
Hipages Updates Market on Ongoing On-Market Share Buy-Back,2026-06-01,HPG
